"Chapter Title","Sub-Chapter Title","sutra_no","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"Chapter Two","","1.2.25","2.2.24","vaisvanaram yati vihayasa gatah susumnaya brahma-pathena socis a vidhuta-kalko 'tha harer udastat prayati cakram nrpa saiumaram","वैस्वनरम् यति विहयस गतह् सुसुम्नय ब्रह्म-पथेन सोचिस् अ विधुत-कल्को 'थ हरेर् उदस्तत् प्रयति चक्रम् न्र्प सैउमरम्","vaisvanaram--the controlling deity of fire; yati--goes; vihayasa--by the path in the sky (the Milky Way); gatah--by passing over; susumnaya- -by the Susumna; brahma--Brahmaloka; pathena--on the way to; socis a-- illuminating; vidhuta--being washed off; kalkah--dirt; atha-- thereafter; hareh--of Lord Hari; udastat--upwards; prayati--does reach; cakram--circle; nrpa--O King; saiumaram--named Sisumara. TRANSLATION O King, when such a mystic passes over the Milky Way by the illuminating Susumna to reach the highest planet, Brahmaloka, he goes first to Vaisvanara, the planet of the deity of fire, wherein he becomes completely cleansed of all contaminations, and thereafter he still goes higher, to the circle of Sisumara, to relate with Lord Hari, the Personality of Godhead. VAISNAVARA IS THE EXPANSION OF THE SUPERSOUL WITHIN THE ABDOMINAL CAVITY.","O King, when such a mystic passes over the Milky Way by the illuminating Susumna to reach the highest planet, Brahmaloka, he goes first to Vaisvanara, the planet of the deity of fire, wherein he becomes completely cleansed of all contaminations, and thereafter he still goes higher, to the circle of Sisumara, to relate with Lord Hari, the Personality of Godhead. VAISNAVARA IS THE EXPANSION OF THE SUPERSOUL WITHIN THE ABDOMINAL CAVITY."
"Chapter Two","","1.2.27","11.16.13","indro 'ham sarva-devanam vasunam asmi havya-vat adityanam aham visnu rudranam nila-lohitah","इन्द्रो 'हम् सर्व-देवनम् वसुनम् अस्मि हव्य-वत् अदित्यनम् अहम् विस्नु रुद्रनम् निल-लोहितह्","indrah--Lord Indra; aham--I am; sarva-devanam--among the demigods; vasunam--among the Vasus; asmi--I am; havya-vat--the carrier of oblations, the fire-god Agni; adityanam--among the sons of Aditi; aham- -I am; visnuh--Visnu; rudranam--among the Rudras; nila-lohitah--Lord Siva. TRANSLATION Among the demigods I am Indra, and among the Vasus I am Agni, the god of fire. I am Visnu among the sons of Aditi, and among the Rudras I am Lord Siva. ONE WHO MEDITATES UPON VAISNAVARA AS A DEMIGOD OR A MATERIAL ELEMENT IS MISLED.","Among the demigods I am Indra, and among the Vasus I am Agni, the god of fire. I am Visnu among the sons of Aditi, and among the Rudras I am Lord Siva. ONE WHO MEDITATES UPON VAISNAVARA AS A DEMIGOD OR A MATERIAL ELEMENT IS MISLED."
"Chapter Two","","1.2.28","4.7.4","agnir uvaca yat-tejasaham susamiddha-teja havyam vahe svadhvara ajya-siktam tam yajniyam panca-vidham ca pancabhih svistam yajurbhih pranato 'smi yajnam","अग्निर् उवच यत्-तेजसहम् सुसमिद्ध-तेज हव्यम् वहे स्वध्वर अज्य-सिक्तम् तम् यज्नियम् पन्च-विधम् च पन्चभिह् स्विस्तम् यजुर्भिह् प्रनतो 'स्मि यज्नम्","agnih--the fire-god; uvaca--said; yat-tejasa--by whose effulgence; aham--I; su-samiddha-tejah--as luminous as blazing fire; havyam-- offerings; vahe--I am accepting; su-adhvare--in the sacrifice; ajya- siktam--mixed with butter; tam--that; yajniyam--the protector of the sacrifice; panca-vidham--five; ca--and; pancabhih--by five; svistam-- worshiped; yajurbhih--Vedic hymns; pranatah--offer respectful obeisances; asmi--I; yajnam--to Yajna (Visnu). TRANSLATION The fire-god said: My dear Lord, I offer my respectful obeisances unto You because by Your favor I am as luminous as blazing fire and I accept the offerings mixed with butter and offered in sacrifice. The five kinds of offerings according to the Yajur Veda are all Your different energies, and You are worshiped by five kinds of Vedic hymns. Sacrifice means Your Supreme Personality of Godhead.","The fire-god said: My dear Lord, I offer my respectful obeisances unto You because by Your favor I am as luminous as blazing fire and I accept the offerings mixed with butter and offered in sacrifice. The five kinds of offerings according to the Yajur Veda are all Your different energies, and You are worshiped by five kinds of Vedic hymns. Sacrifice means Your Supreme Personality of Godhead."
"Chapter Two","","1.2.28","2.1.39","sa sama-dhi-vrtty-anubhuta-sama atma yatha svapna janeksitaikah tam satyam ananda-nidhim bhajeta nanyatra sajjed yata atma-patah","स सम-धि-व्र्त्त्य्-अनुभुत-सम अत्म यथ स्वप्न जनेक्सितैकह् तम् सत्यम् अनन्द-निधिम् भजेत नन्यत्र सज्जेद् यत अत्म-पतह्","sah--He (the Supreme Person); sama-dhi-vrtti--the process of realization by all sorts of intelligence; anubhuta--cognizant; sarve-- everyone; atma--the Supersoul; yatha--as much as; svapna jana--a person dreaming; iksita--seen by; ekah--one and the same; tam--unto Him; satyam--the Supreme Truth; ananda-nidhim--the ocean of bliss; bhajeta-- must one worship; na--never; anyatra--anything else; sajjet--—be attached; yatah--whereby; atma-patah--degradation of oneself. TRANSLATION One should concentrate his mind upon the Supreme Personality of Godhead, who alone distributes Himself in so many manifestations just as ordinary persons create thousands of manifestations in dreams. One must concentrate the mind on Him, the only all-blissful Absolute Truth. Otherwise one will be misled and will cause his own degradation. SAGE JAIMINI DECLARES THAT BECAUSE AGNI MEANS 'HE WHO LEADS OTHERS' OR ""HE WHO GIVES BIRTH TO ALL OTHERS', AGNI IS DIRECTLY A NAME OF THE SUPREME LORD.","One should concentrate his mind upon the Supreme Personality of Godhead, who alone distributes Himself in so many manifestations just as ordinary persons create thousands of manifestations in dreams. One must concentrate the mind on Him, the only all-blissful Absolute Truth. Otherwise one will be misled and will cause his own degradation. SAGE JAIMINI DECLARES THAT BECAUSE AGNI MEANS 'HE WHO LEADS OTHERS' OR ""HE WHO GIVES BIRTH TO ALL OTHERS', AGNI IS DIRECTLY A NAME OF THE SUPREME LORD."
"Chapter Two","","1.2.29","2.5.6","naham veda param hy asmin naparam na samam vibho nama-rupa-gunair bhavyam sad-asat kincid anyatah","नहम् वेद परम् ह्य् अस्मिन् नपरम् न समम् विभो नम-रुप-गुनैर् भव्यम् सद्-असत् किन्चिद् अन्यतह्","na--do not; aham--myself; veda--know; param--superior; hi--for; asmin-- in this world; na--neither; aparam--inferior; na--nor; samam--equal; vibho--O great one; nama--name; rupa--characteristics; gunaih--by qualification; bhavyam--all that is created; sat--eternal; asat-- temporary; kincit--or anything like that; anyatah--from any other source. TRANSLATION Whatever we can understand by the nomenclature, characteristics and features of a particular thing--superior, inferior or equal, eternal or temporary--is not created from any source other than that of Your Lordship, thou so great. SAGE ASMARATHYA DECLARES THAT VAISVANARA IS THE NAME OF THE SUPREME LORD BECAUSE HE MANIFESTS HIMSELF FROM WITHIN THE HEARTS OF HIS DEVOTEES LIKE FIRE MANIFESTS OUT OF WOOD. (Vs. 1.2.3o)","Whatever we can understand by the nomenclature, characteristics and features of a particular thing--superior, inferior or equal, eternal or temporary--is not created from any source other than that of Your Lordship, thou so great. SAGE ASMARATHYA DECLARES THAT VAISVANARA IS THE NAME OF THE SUPREME LORD BECAUSE HE MANIFESTS HIMSELF FROM WITHIN THE HEARTS OF HIS DEVOTEES LIKE FIRE MANIFESTS OUT OF WOOD. (Vs."
"Chapter Two","","1.2.29","6.4.27","manisino 'ntar-hrdi sannivesitam sva-saktibhir navabhis ca trivrdbhih vahnim yatha daruni pancadasyam manisaya niskarsanti gudham","मनिसिनो 'न्तर्-ह्र्दि सन्निवेसितम् स्व-सक्तिभिर् नवभिस् च त्रिव्र्द्भिह् वह्निम् यथ दरुनि पन्चदस्यम् मनिसय निस्कर्सन्ति गुधम्","manisinah--great learned brahmanas performing ritualistic ceremonies and sacrifices; antah-hrdi--within the core of the heart; sannivesitam- -being situated; sva-saktibhih--with His own spiritual potencies; navabhih--also with the nine different material potencies (the material nature, the total material energy, the ego, the mind and the five objects of the senses); ca--and (the five gross material elements and the ten acting and knowledge-gathering senses); trivrdbhih--by the three material modes of nature; vahnim--fire; yatha--just like; daruni--within wood; pancadasyam--produced by chanting the fifteen hymns known as Samidheni mantras; manisaya--by purified intelligence; niskarsanti--extract; gudham--although not manifesting. TRANSLATION Just as great learned brahmanas who are expert in performing ritualistic ceremonies and sacrifices can extract the fire dormant within wooden fuel by chanting the fifteen Samidheni mantras, thus proving the efficacy of the Vedic mantras, so those who are actually advanced in consciousness--in other words, those who are Krsna conscious--can find the Supersoul, who by His own spiritual potency is situated within the heart. The heart is covered by the three modes of material nature and the nine material lements [material nature, the total material energy, the ego, the mind and the five objects of sense gratification], and also by the five material lements and the ten senses. These twenty-seven elements constitute th xternal energy of the Lord. Great yogis meditate upon the Lord, who is situated as the Supersoul, Paramatma, within the core of the heart. VAISVANARA IS TO BE MEDITATED UPON WITHIN THE HEART; THUS HE IS CALLED PRADESA MATRA (THE MEASURE OF THE EIGHT-INCH SPAN BETWEEN THE TIP OF THE THUMB AND FOREFINGER, THE SIZE OF THE HEART). SO DECLARES SAGE BADARI.","Just as great learned brahmanas who are expert in performing ritualistic ceremonies and sacrifices can extract the fire dormant within wooden fuel by chanting the fifteen Samidheni mantras, thus proving the efficacy of the Vedic mantras, so those who are actually advanced in consciousness--in other words, those who are Krsna conscious--can find the Supersoul, who by His own spiritual potency is situated within the heart. The heart is covered by the three modes of material nature and the nine material lements [material nature, the total material energy, the ego, the mind and the five objects of sense gratification], and also by the five material lements and the ten senses. These twenty-seven elements constitute th xternal energy of the Lord. Great yogis meditate upon the Lord, who is situated as the Supersoul, Paramatma, within the core of the heart. VAISVANARA IS TO BE MEDITATED UPON WITHIN THE HEART; THUS HE IS CALLED PRADESA MATRA (THE MEASURE OF THE EIGHT-INCH SPAN BETWEEN THE TIP OF THE THUMB AND FOREFINGER, THE SIZE OF THE HEART). SO DECLARES SAGE BADARI."
"Chapter Two","","1.2.31","2.2.8","kecit sva-de hantar-hrdayava kase pradesa-matram purusam vasantam catur-bhujam kanja-rathanga-sankha- gada-dharam dharanaya smaranti","केचित् स्व-दे हन्तर्-ह्र्दयव कसे प्रदेस-मत्रम् पुरुसम् वसन्तम् चतुर्-भुजम् कन्ज-रथन्ग-सन्ख- गद-धरम् धरनय स्मरन्ति","kecit--others; sva-deha-antah--within the body; hrdaya-avakase--in the region of the heart; pradesa-matram--measuring only eight inches; purusam--the Personality of Godhead; vasantam--residing; catuh-bhujam-- with four hands; kanja--lotus; ratha-anga--the wheel of a chariot; sankha--conchshell; gada-dharam--and with a club in the hand; dharanaya--conceiving in that way; smaranti--do meditate upon Him. TRANSLATION Others conceive of the Personality of Godhead residing within the body in the region of the heart and measuring only eight inches, with four hands carrying a lotus, a wheel of a chariot, a conchshell anda club respectively. SAGE JAIMINI DECLARES THE FORM OF THE SUPREME LORD TO BE FULL OF INCONCEIVABLE POTENCY; THUS DOES HE DWELL IN THE HEARTS OF ALL BEINGS.","Others conceive of the Personality of Godhead residing within the body in the region of the heart and measuring only eight inches, with four hands carrying a lotus, a wheel of a chariot, a conchshell anda club respectively. SAGE JAIMINI DECLARES THE FORM OF THE SUPREME LORD TO BE FULL OF INCONCEIVABLE POTENCY; THUS DOES HE DWELL IN THE HEARTS OF ALL BEINGS."
"Chapter Two","","1.2.32","7.6.2","paravaresu bhutesu brahmanta-sthavaradisu bhautikesu vikaresu bhutesv atha mahatsu ca gunesu guna-samye ca guna-vyatikare tatha- eka eva paro hy atma bhagavan isvaro 'vyayah pratya g-atma-svarupena drsya-rupena ca svayam vyapya-vyapaka-nirdesyo hy anirdesyo 'vikalpitah kevalanubhavananda- svarupah paramesvarah mayayantarhitaisvarya iyate guna-sargaya","परवरेसु भुतेसु ब्रह्मन्त-स्थवरदिसु भौतिकेसु विकरेसु भुतेस्व् अथ महत्सु च गुनेसु गुन-सम्ये च गुन-व्यतिकरे तथ- एक एव परो ह्य् अत्म भगवन् इस्वरो 'व्ययह् प्रत्य ग्-अत्म-स्वरुपेन द्र्स्य-रुपेन च स्वयम् व्यप्य-व्यपक-निर्देस्यो ह्य् अनिर्देस्यो 'विकल्पितह् केवलनुभवनन्द- स्वरुपह् परमेस्वरह् मययन्तर्हितैस्वर्य इयते गुन-सर्गय","para-avaresu--in exalted or hellish conditions of life; bhutesu--in the living beings; brahma-anta--ending with Lord Brahma; sthavara-adisu-- beginning with the nonmoving forms of life, the trees and plants; bhautikesu--of the material elements; vikar esu--in the transformations; bhutesu--in the five gross elements of material nature; atha--moreover; mahatsu--in the mahat-tattva, the total material energy; ca--also; gunesu--in the modes of material nature; guna-samye--in an equilibrium of material qualities; ca--and; guna- vyatikare--in the uneven manifestation of the modes of material nature; tatha--as well; ekah--one; eva--only; parah--transcendental; hi-- indeed; atma--the original source; bhagavan--the Supreme Personality of Godhead; isvara h--the controller; avyayah--without deteriorating; pratyak--inner; atma-svarupena--by His original constitutional position as the Supersoul; drsya-rupena--by His visible forms; ca--also; svayam- -personally; vyapya--pervaded; vyapaka--all-pervading; nirdesyah--to be described; hi--certainly; anirdesyah--not to be described (because of fine, subtle existence); avikalpitah--without differentiation; kevala-- only; anubhava-ananda-svaruoah--whose form is blissful and full of knowledge; parama-isvarah--the Supreme Personality of Godhead, the supreme ruler; mayaya--by maya, the illusory energy; antarhita-- covered; aisvaryah--whose unlimited opulence; iyate--is mistaken as; guna-sargaya--the interaction of the material modes of nature. TRANSLATION The Supreme Personality of Godhead, the supreme controller, who is infallible and indefatigable, is present in different forms of life, from the inert living beinf 1.511.515 1& ८1 51-61<र 1181-5, to Brahma, the foremost created living being. He is also present in the varieties of material creations and in the material elements, the total material energy and the modes of material nature [sattva-guna, rajo-guna and tamo-guna], as well as the unmanifested material nature and the false ego. Although He is one, He is present everywhere, and He is also the transcendental Supersoul, the cause of all causes, who is present as the observer in the cores of the hearts of all living entities. He is indicated as that which is pervaded and as the all- pervading Supersoul, but actually He cannot be indicated. He is changeless and undivided. He is simply perceived as the supreme sac-— cid-ananda [eternity, knowledge and bliss]. Being covered by the curtain of th xternal energy, to the atheist He appears nonexistent. THE VEDAS TESTIFY TO THE INCONCEIVABILE POTENCY OF THE FORM OF THE SUPREME LORD.","The Supreme Personality of Godhead, the supreme controller, who is infallible and indefatigable, is present in different forms of life, from the inert living beinf 1.511.515 1& ८1 51-61<र 1181-5, to Brahma, the foremost created living being. He is also present in the varieties of material creations and in the material elements, the total material energy and the modes of material nature [sattva-guna, rajo-guna and tamo-guna], as well as the unmanifested material nature and the false ego. Although He is one, He is present everywhere, and He is also the transcendental Supersoul, the cause of all causes, who is present as the observer in the cores of the hearts of all living entities. He is indicated as that which is pervaded and as the all- pervading Supersoul, but actually He cannot be indicated. He is changeless and undivided. He is simply perceived as the supreme sac-— cid-ananda [eternity, knowledge and bliss]. Being covered by the curtain of th xternal energy, to the atheist He appears nonexistent. THE VEDAS TESTIFY TO THE INCONCEIVABILE POTENCY OF THE FORM OF THE SUPREME LORD."
"Chapter Three","","1.3.1","3.15.15","yatra cadyah puman aste bhagavan sabda-gocarah sattvam vistabhya virajam svanam no mrdayan vrsah","यत्र चद्यह् पुमन् अस्ते भगवन् सब्द-गोचरह् सत्त्वम् विस्तभ्य विरजम् स्वनम् नो म्र्दयन् व्र्सह्","yatra--in the Vaikuntha planets; ca--and; adyah--original; puman-- person; aste--is there; bhagavan--the Supreme Personality of Godhead; sabda-gocarah--understood through the Vedic literature; sattvam--the mode of goodness; vistabhya--accepting; virajam--uncontaminated; svanam--of His own associates; nah--us; mrdayan--increasing happiness; vrsah--the personification of religious principles. TRANSLATION In the Vaikuntha planets is the Supreme Personality of Godhead, who is the original person and who can be understood through the Vedic literature. He is full of the uncontaminated mode of goodness, with no place for passion or ignorance. He contributes religious progress for the devotees.","In the Vaikuntha planets is the Supreme Personality of Godhead, who is the original person and who can be understood through the Vedic literature. He is full of the uncontaminated mode of goodness, with no place for passion or ignorance. He contributes religious progress for the devotees."
"Chapter Three","","1.3.1","4.29.48","svam lokam na vidus te vai yatra devo janardanah ahur dhumra-dhiyo vedam sakarmakam atad-vidah","स्वम् लोकम् न विदुस् ते वै यत्र देवो जनर्दनह् अहुर् धुम्र-धियो वेदम् सकर्मकम् अतद्-विदह्","svam--own; lokam--abode; na--never; viduh--know; te--such persons; vai- -certainly; yatra--where; devah--the Supreme Personality of Godhead; jJanardanah--Krsna, or Visnu; ahuh--speak; dhumra-dhiyah--the less intelligent class of men; vedam--the four Vedas; sa-karmakam--full of ritualistic ceremonies; a-tat-vidah--persons who are not in knowledge. TRANSLATION Those who are less intelligent accept the Vedic ritualistic ceremonies as all in all. They do not know that the purpose of the Vedas is to understand one's own home, where the Supreme Personality of Godhead lives. Not being interested in their real home, they are illusioned and search after other homes. THE LIBERATED SOULS KNOW THE GOAL OF VEDIC DHARMA TO BE THE SUPREME LORD.","Those who are less intelligent accept the Vedic ritualistic ceremonies as all in all. They do not know that the purpose of the Vedas is to understand one's own home, where the Supreme Personality of Godhead lives. Not being interested in their real home, they are illusioned and search after other homes. THE LIBERATED SOULS KNOW THE GOAL OF VEDIC DHARMA TO BE THE SUPREME LORD."
"Chapter Three","","1.3.2","6.16.4","jitam ajita tada bhavata yadaha bhagavatam dharmam anavadyam niskincana ye munaya atmarama yam upasate 'pavargaya","जितम् अजित तद भवत यदह भगवतम् धर्मम् अनवद्यम् निस्किन्चन ये मुनय अत्मरम यम् उपसते 'पवर्गय","jitam--congquered; ajita--O unconquerable one; tada--then; bhavata--by Your Lordship; yada--when; aha--spoke; bhagavatam--which helps the devotee approach the Supreme Personality of Godhead; dharmam--the religious process; anavadyam--faultless (free from contamination) ; niskincanah--who have no desire to be happy with material opulences; ye--those who; munayah--great philosophers and exalted sages; atma- aramah--who are self-satisfied (being completely aware of their constitutional position as eternal servants of the Lord); yam--whom; upasate--worship; apavargaya--for achieving liberation from material bondage. TRANSLATION O unconquerable one, when You spoke about bhagavata-dharma, which is the uncontaminated religious system for achieving the shelter of Your lotus feet, that was Your victory. Persons who have no material desires, like the Kumaras, who are self-satisfied sages, worship You to be liberated from material contamination. In other words, they accept the process of bhagavata-dharma to achieve shelter at Your lotus feet. SABDA (THE SPIRITUAL SOUND OF THE VEDAS) DOES NOT PRESENT MATERIAL NATURE AS THE GOAL OF VEDIC DHARMA.","O unconquerable one, when You spoke about bhagavata-dharma, which is the uncontaminated religious system for achieving the shelter of Your lotus feet, that was Your victory. Persons who have no material desires, like the Kumaras, who are self-satisfied sages, worship You to be liberated from material contamination. In other words, they accept the process of bhagavata-dharma to achieve shelter at Your lotus feet. SABDA (THE SPIRITUAL SOUND OF THE VEDAS) DOES NOT PRESENT MATERIAL NATURE AS THE GOAL OF VEDIC DHARMA."
"Chapter Three","","1.3.3","6.16.51","aham vai sarva-bhutani bhutatma bhuta-bhavanah sabda-brahma param brahma mamobhe sasvati tanu","अहम् वै सर्व-भुतनि भुतत्म भुत-भवनह् सब्द-ब्रह्म परम् ब्रह्म ममोभे सस्वति तनु","aham--I; vai--indeed; sarva-bhutani--expanded in different forms of living entities; bhuta-atma--the Supersoul of all living entities (the supreme director and enjoyer of them); bhuta-bhavanah--the cause for the manifestation of all living entities; sabda-brahma--the transcendental sound vibration (the Hare Krsna mantra); param brahma-- the Supreme Absolute Truth; mama--My; ubhe--both (namely, the form of sound and the form of spiritual identity); sasvati--eternal; tanu--two bodies. TRANSLATION All living entities, moving and nonmoving, are My expansions and are separate from Me. I am the Supersoul of all living beings, who exist because I manifest them. I am the form of the transcendental vibrations like omkara and Hare Krsna Hare Rama, and I am the Supreme Absolute Truth. These two forms of Mine--namely, the transcendental sound and the eternally blissful spiritual form of the Deity, are My eternal forms; they are not material. THE TERMS 'HEAVEN' AND 'EARTH' DO NOT INDICATE THE INDIVIDUAL SOUL AS THE GOAL, FOR LIKE MATTER, THE JIVAS ARE THE SUBORDINATE ENERGY OF THE SUPREME LORD.","All living entities, moving and nonmoving, are My expansions and are separate from Me. I am the Supersoul of all living beings, who exist because I manifest them. I am the form of the transcendental vibrations like omkara and Hare Krsna Hare Rama, and I am the Supreme Absolute Truth. These two forms of Mine--namely, the transcendental sound and the eternally blissful spiritual form of the Deity, are My eternal forms; they are not material. THE TERMS 'HEAVEN' AND 'EARTH' DO NOT INDICATE THE INDIVIDUAL SOUL AS THE GOAL, FOR LIKE MATTER, THE JIVAS ARE THE SUBORDINATE ENERGY OF THE SUPREME LORD."
"Chapter Three","","1.3.4","6.16.52","loke vitatam atmanam lokam catmani santatam ubhayam ca maya vyaptam mayi caivobhayam krtam","लोके विततम् अत्मनम् लोकम् चत्मनि सन्ततम् उभयम् च मय व्यप्तम् मयि चैवोभयम् क्र्तम्","loke--in this material world; vitatam--expanded (in the spirit of material enjoyment); atmanam--the living entity; lokam--the material world; ca--also; atmani--in the living entity; santatam--spread; ubhayam--both (the material world of material elem ents and the living entity); ca--and; maya--by Me; vyaptam--pervaded; mayi--in Me; ca-- also; eva--indeed; ubhayam--both of them; krtam--created. TRANSLATION In this world of matter, which the conditioned soul accepts as consisting of enjoyable resources, the conditioned soul expands, thinking that he is the enjoyer of the material world. Similarly, the material world expands in the living entity as a source of enjoyment. In this way they both expand, but because they are My energies, they are both pervaded by Me. As the Supreme Lord, I am the cause of these effects, and one should know that both of them rest in Me. INDIVIDUAL SOULS ARE NOT SUPREME. THEY ARE SEPARATED FROM THE LORD BY FORGETFULNESS. THE FORGETFUL SOUL CANNOT KNOW THE TRUE MEANING OF ""HEAVEN' AND 'EARTH.!","In this world of matter, which the conditioned soul accepts as consisting of enjoyable resources, the conditioned soul expands, thinking that he is the enjoyer of the material world. Similarly, the material world expands in the living entity as a source of enjoyment. In this way they both expand, but because they are My energies, they are both pervaded by Me. As the Supreme Lord, I am the cause of these effects, and one should know that both of them rest in Me. INDIVIDUAL SOULS ARE NOT SUPREME. THEY ARE SEPARATED FROM THE LORD BY FORGETFULNESS. THE FORGETFUL SOUL CANNOT KNOW THE TRUE MEANING OF ""HEAVEN' AND 'EARTH.!"
"Chapter Three","","1.3.5","6.16.57","yad etad vismrtam pumso mad-bhavam bhinnam atmanah tatah samsara etasya dehad deho mrter mrtih","यद् एतद् विस्म्र्तम् पुम्सो मद्-भवम् भिन्नम् अत्मनह् ततह् सम्सर एतस्य देहद् देहो म्र्तेर् म्र्तिह्","yat--which; etat--this; vismrtam--forgotten; pumsah--of the living entity; mat-bhavam--My spiritual position; bhinnam--separation; atmanah--from the Supreme Soul; tatah--from that; samsarah--material, conditional life; etasya--of the living entity; dehat--from one body; dehah--another body; mrteh--from one death; mrtih--another death. TRANSLATION When a living entity, thinking himself different from Me, forgets his spiritual identity of qualitative oneness with Me in eternity, knowledge and bliss, his material, conditional life begins. In other words, instead of identifying his interest with Mine, he becomes interested in his bodily expansions like his wife, children and material possessions. In this way, by the influence of his actions, one body comes from another, and after one death, another death takes place. labdhveha manusim yonim jJnana-vijnana-sambhavam atmanam yo na buddhyeta na kvacit ksemam apnuyat labdhva--achieving; iha--in this material world (especially in this pious land of Bharata-varsa, India); manusim--the human; yonim-- species; jnana--of knowledge through Vedic scriptures; vijnana--and practical application of that knowledge in life; s ambhavam--wherein there is a possibility; atmanam--one's real identity; yah--anyone who; na--not; buddhyeta--understands; na--never; kvacit--at any time; ksemam--success in life; apnuyat--can obtain. TRANSLATION A human being can attain perfection in life by self-realization through the Vedic literature and its practical application. This is possible especially for a human being born in India, the land of piety. A man who obtains birth in such a convenient position but does not understand his self is unable to achieve the highest perfection, even if he is exalted to life in the higher planetary systems. BECAUSE EVERYTHING IS BRAHMAN (THE ENERGY OF GOD), EVERYTHING (COSMIC CREATION, SUSTENANCE AND DESTRUCTION) IS KNOWABLE BY KNOWLEDGE OF THE SUPREME LORD ALONE; KNOWLEDGE ONLY OF THE INDIVIDUAL SOUL IS NOT KNOWLEDGE OF BRAHMAN.","When a living entity, thinking himself different from Me, forgets his spiritual identity of qualitative oneness with Me in eternity, knowledge and bliss, his material, conditional life begins. In other words, instead of identifying his interest with Mine, he becomes interested in his bodily expansions like his wife, children and material possessions. In this way, by the influence of his actions, one body comes from another, and after one death, another death takes place. labdhveha manusim yonim jJnana-vijnana-sambhavam atmanam yo na buddhyeta na kvacit ksemam apnuyat labdhva--achieving; iha--in this material world (especially in this pious land of Bharata-varsa, India); manusim--the human; yonim-- species; jnana--of knowledge through Vedic scriptures; vijnana--and practical application of that knowledge in life; s ambhavam--wherein there is a possibility; atmanam--one's real identity; yah--anyone who; na--not; buddhyeta--understands; na--never; kvacit--at any time; ksemam--success in life; apnuyat--can obtain. TRANSLATION A human being can attain perfection in life by self-realization through the Vedic literature and its practical application. This is possible especially for a human being born in India, the land of piety. A man who obtains birth in such a convenient position but does not understand his self is unable to achieve the highest perfection, even if he is exalted to life in the higher planetary systems. BECAUSE EVERYTHING IS BRAHMAN (THE ENERGY OF GOD), EVERYTHING (COSMIC CREATION, SUSTENANCE AND DESTRUCTION) IS KNOWABLE BY KNOWLEDGE OF THE SUPREME LORD ALONE; KNOWLEDGE ONLY OF THE INDIVIDUAL SOUL IS NOT KNOWLEDGE OF BRAHMAN."
"Chapter Three","","1.3.6","6.16.22","yasminn idam yatas cedam tisthaty apyeti jayate mrnmayesv iva mrjjatis tasmai te brahmane namah","यस्मिन्न् इदम् यतस् चेदम् तिस्थत्य् अप्येति जयते म्र्न्मयेस्व् इव म्र्ज्जतिस् तस्मै ते ब्रह्मने नमह्","yasmin--in whom; idam--this (cosmic manifestation); yatah--from whom; ca--also; idam--this (cosmic manifestation); tisthati--stands; apyeti-- dissolves; jayate--is born; mrt-mayesu--in things made of earth; iva-- like; mrt jatih--birth from earth; tasmai--unto Him; te--You; brahmane--the supreme cause; namah--respectful obeisances. TRANSLATION As pots made completely of earth are situated on earth after being created and are transformed into earth again when broken, this cosmic manifestation is caused by the Supreme Brahman, situated in the Supreme Brahman, and annihilated in the same Supreme Brahman. Therefore, since the Supreme Lord is the cause of Brahman, let us offer Him our respectful obeisances. THE DIFFERENCE BETWEEN THE SUPREME LORD AND THE INDIVIDUAL SOUL IS INDICATED BY THE EXAMPLE OF TWO BIRDS (FROM THE MUNDAKA UPANISAD).","As pots made completely of earth are situated on earth after being created and are transformed into earth again when broken, this cosmic manifestation is caused by the Supreme Brahman, situated in the Supreme Brahman, and annihilated in the same Supreme Brahman. Therefore, since the Supreme Lord is the cause of Brahman, let us offer Him our respectful obeisances. THE DIFFERENCE BETWEEN THE SUPREME LORD AND THE INDIVIDUAL SOUL IS INDICATED BY THE EXAMPLE OF TWO BIRDS (FROM THE MUNDAKA UPANISAD)."
