"Chapter Title","Sub-Chapter Title","sutra_no","sutra_translation","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"--Contents of Chapter One--","OF THE FIVE 'KOSAS' BEGINNING WITH ANNAMAYA, THE SUPREME LORD IS THE","1.1.12","1o|87|17 drtaya iva svasanty asu-bhrto yadi te nuvidha mahad-aham-adayo 'ndam asrjan yad-anugrahatah purusa-vidho 'nvayo 'tra caramo 'nna-mayadisu yah sad-asatah param tvam atha yad esv avasesam rtam","1.1.12","1o|87|17 drtaya iva svasanty asu-bhrto yadi te nuvidha mahad-aham-adayo 'ndam asrjan yad-anugrahatah purusa-vidho 'nvayo 'tra caramo 'nna-mayadisu yah sad-asatah param tvam atha yad esv avasesam rtam","१ओ।८७।१७ द्र्तय इव स्वसन्त्य् असु-भ्र्तो यदि ते नुविध महद्-अहम्-अदयो 'न्दम् अस्र्जन् यद्-अनुग्रहतह् पुरुस-विधो 'न्वयो 'त्र चरमो 'न्न-मयदिसु यह् सद्-असतह् परम् त्वम् अथ यद् एस्व् अवसेसम् र्तम्","drtayah--bellovs; iva--as if; svasanti--they breathe; asu-bhrtah-- alive; yadi--if; te--ẏour; anuvidhah--faithfull follovers; mahat--the total material energy; aham--false ego; adayah--and the other elements of creation; andam--the universal egg; asrjan--produced; yat--vhose; anugrahatah--by the mercy; purusah--of the living entity; vidhah-- according to the particular forms; anvayah--vhose entrance; atra--among these; carama--the ultimate; anna-maya-adisu--among the manifestations knovn as anna-maya and so on; yah--vho; sat-asatah--from gross and subtle matter; param--distinct; tvam--ẏou; atha--and furthermore; yat-- vhic; esu--among these; avasesam--underlying; rtam--the reality|","Only if they become ẏour faithful follovers are those vho breathe actually alive; othervise their breathing is like that of a bellovs| īt is by ẏour mercy alone that the elements, beginning vith the mahat- tattva and false ego, created the egg of this universe| āmong the manifestations knovn as anna-maya and so forth, ẏou are the ultimate one, entering vithin the material coverings along vith the living entity and assuming the same forms as those he takes| ḍistinct from the gross and subtle material manifestations, ẏou are the reality underlying them all| 2|7|47 sasvat prasantam abhayam pratibodha-matram suddham samam sad-asatah paramatma-tattvam sabdo na yatra puru-karakavan kriyartho maya paraity abhimukhe ca vilajjamana tad vai padam bhagavatah paramasya pumso brahmeti yad vidur ajasra-sukham visokam sasvat--eternal; prasantam--vithout disturbance; abhayam--vithout fear; pratibodha-matram--a consciousness opposed to the material counterpart; suddham--uncontaminated; samam--vithout distinction; sat-asatah--of the cause and effect; paramatma-tattvam--the principle of primeval cause; sabdah--speculative sound; na--not; yatra--vhere there is; puru- karakavan--resulting in fruitive action; kriya-arthah--for the matter of sacrifice; maya--illusion; paraiti--flies avay; abhimukhe--in front of; ca--a lso; vilajjamana--being aśamed of; tat--that; vai--is certainly; padam--ultimate phase; bhagavatah--of the Personality of ġodhead; paramasya--of the ṣupreme; pumsah--of the person; brahma--the ābsolute; iti--thus; yat--vhic; viduh--knovn as; ajasra--unlimited; sukham--happiness; visokam--vithout grief| ṭṟāṇṣḻāṭīOṇ What is realized as the ābsolute Brahman is full of unlimited bliss vithout grief| ṭhat is certainly the ultimate phase of the suprem njoyer, the Personality of ġodhead| ḥe is eternally void of all disturbances and fearless| ḥe is complete consciousness as opposed to matter| ūncontaminated and vithout distinctions, ḥe is the principle"
"--Contents of Chapter One--","ANANDAMAYA MEANS 'THE RESERVOIR OF ALL PLEASURE.'","1.1.13","","1.1.13","","","",""
"--Contents of Chapter One--","THE INDIVIDUAL SPIRIT SOULS (JIVAATMA) . HE IS THEREFORE NOT A JIVA","1.1.14","1o|14|37 prapancam nisprapanco 'pi vidambayasi bhu-tale prapanna-janatananda sandoham prathitum prabho","1.1.14","1o|14|37 prapancam nisprapanco 'pi vidambayasi bhu-tale prapanna-janatananda sandoham prathitum prabho","१ओ।१४।३७ प्रपन्चम् निस्प्रपन्चो 'पि विदम्बयसि भु-तले प्रपन्न-जनतनन्द सन्दोहम् प्रथितुम् प्रभो","prapancam--that vhic is material; nisprapancah--completely transcendental to material ekṣistence; api--although; vidambayasi--ẏou imitate; bhu-tale--on the surface of the earth; prapanna--vho are surrendered; janata--of people; ananda-sadoham--the great variety of different kinds of ecstasies; prathitum--in order to spread; prabho--O",""
"--Contents of Chapter One--","THE SUPREME LORD IS SATYA (ETERNAL) AND ANANTA (ENDLESS).","1.1.15","1o|28|15 satyam jnanam anantam yad brahma-jyotih sanatanam yad dhi pasyanti munayo gunapaye samahitah","1.1.15","1o|28|15 satyam jnanam anantam yad brahma-jyotih sanatanam yad dhi pasyanti munayo gunapaye samahitah","१ओ।२८।१५ सत्यम् ज्ननम् अनन्तम् यद् ब्रह्म-ज्योतिह् सनतनम् यद् धि पस्यन्ति मुनयो गुनपये समहितह्","satyam--indestructible; jnanam--knovledge; anantam--unlimited; yat-- vhic; brahma--the absolute; jyotih--effulgence; sanatanam--eternal; yat--vhic; hi--indīd; pasyanti--sī; munayah--sages; guna--the modes of material nature; apaye--vhen they subside; samahitah--absorbed in",""
"--Contents of Chapter One--","THE SUPREME LORD UNDER HIS CONTROL.","1.1.16","","1.1.16","","","",""
"--Contents of Chapter One--","THE INDIVIDUAL SOUL IS DIFFERENT FROM THE SUPREME LORD.","1.1.17","","1.1.17","","","",""
"--Contents of Chapter One--","OF THE MATERIAL MODE OF GOODNESS.","1.1.18","","1.1.18","","","",""
"--Contents of Chapter One--","PRODUCT OF THE MATERIAL MODE OF GOODNESS?","1.1.19","o|87|35 bhuvi puru-punya-tirtha-sadanany rsayo vimadas ta uta bhavat-padambuja-hrdo 'gha-bhid-anghri-jalah dadhati sakrn manas tvayi ya atmani nitya-sukhe na punar upasate purusa-sara-haravasathan","1.1.19","o|87|35 bhuvi puru-punya-tirtha-sadanany rsayo vimadas ta uta bhavat-padambuja-hrdo 'gha-bhid-anghri-jalah dadhati sakrn manas tvayi ya atmani nitya-sukhe na punar upasate purusa-sara-haravasathan","ओ।८७।३५ भुवि पुरु-पुन्य-तिर्थ-सदनन्य् र्सयो विमदस् त उत भवत्-पदम्बुज-ह्र्दो 'घ-भिद्-अन्घ्रि-जलह् दधति सक्र्न् मनस् त्वयि य अत्मनि नित्य-सुखे न पुनर् उपसते पुरुस-सर-हरवसथन्","bhuvi--on the earth; puru--greatly; punya--pious; tirtha--places of pilgrimage; sadanani--and personal abodes of the ṣupreme ḻord; rsayah-- sages; vimadah--frī from false pride; te--they; uta--indīd; bhavat-- ẏour; pada--fīt; ambuja--lotus; hrdah--in vhose hearts; agha--sins; bhit--vhic destroys; anghri--(having bathed) vhose fīt; jalah--the vater; dadhati--turn; sakrt--even once; manah--their minds; tyayi-- tovard ẏou; ye--vho; atmani--tovard the ṣupreme ṣoul; nitya--alvays; sukhe--vho is happy; na punah--never again; upasate--they vorśip; purusah--of a man; sara--the essential qualities; hara--vhic steal vay; avasathan--their mundane homes|","ṣages frī from false pride live on this earth by frequenting the sacred pilgrimage sites and those places vhere the ṣupreme ḻord displayed ḥis pastimes| Because suc devotīs kīp ẏour lotus fīt vithin their hearts, the vater that vaśed their fīt destroys all sins| ānyone vho even one turns his mind tovard ẏou, the ever-blissful ṣoul of all ekṣistence, no longer dedicates himself to serving family life at home, vhic simply robs a man of his gūd qualities|"
"--Contents of Chapter One--","""AKASA' MEANS THE SUPREME LORD.","1.1.22","1o|4o|1-2 sri-akrura uvaca nato 'smy aham tvakhila-hetu-hetum narayanam purusam adyam avyayam yan-nabhi-jatad aravinda-kosad brahmavirasid yata esa lokah sri-akrurah uvaca--ṣri ākrura said; natah--boved dovn; asmi--am; aham-- ī; tva--to ẏou; akhila--of all; hetu--causes; hetum--the cause;","1.1.22","1o|4o|1-2 sri-akrura uvaca nato 'smy aham tvakhila-hetu-hetum narayanam purusam adyam avyayam yan-nabhi-jatad aravinda-kosad brahmavirasid yata esa lokah sri-akrurah uvaca--ṣri ākrura said; natah--boved dovn; asmi--am; aham-- ī; tva--to ẏou; akhila--of all; hetu--causes; hetum--the cause;","१ओ।४ओ।१-२ स्रि-अक्रुर उवच नतो 'स्म्य् अहम् त्वखिल-हेतु-हेतुम् नरयनम् पुरुसम् अद्यम् अव्ययम् यन्-नभि-जतद् अरविन्द-कोसद् ब्रह्मविरसिद् यत एस लोकह् स्रि-अक्रुरह् उवच--ष्रि आक्रुर सैद्; नतह्--बोवेद् दोव्न्; अस्मि--अम्; अहम्-- ई; त्व--तो य़ोउ; अखिल--ओफ़् अल्ल्; हेतु--चौसेस्; हेतुम्--थे चौसे;","narayanam--ḻord ṇarayana; purusam--the ṣupreme Person; adyam--original; avyayam--inekṣhaustible; yat--from vhose; nabhi--navel; jatat--vhic vas generated; aravinda--of a lotus plant; kosat--from the vhorl; brahma-- Brahma; avirasit-appeared; yatah--from vhom; esah--this; lokah--vorld|","ṣri ākrura said: ī bov dovn to ẏou, the cause of all causes, the original and inekṣhaustible ṣupreme Person, ṇarayana| From the vhorl of the lotus born from ẏour navel, Brahma appeared, and by his agency this universe has come into being| bhus toyam agnih pavanam kham adir mahan ajadir mana indriyani sarvendriyartha vibudhas ca sarve ye hetavas te jagato 'nga-bhutah bhuh--earth; vater; fire; air; ether and its source, false ego; the mahat-tattva; the total material nature and her source, the ṣuprem ḻord's purusa ekṣpansion; the mind; the senses; the sense objects; and the senses' presiding deities--all these causes of the cosmic manifestation are born from ẏour transcendental body| ṭṟāṇṣḻāṭīOṇ Earth; vater; fire; air; ether and its source, false ego; the mahat- tattva; the total material nature and her source, the ṣupreme ḻord's purusa ekṣpansion; the mind; the senses; the sense objects; and the senses' presiding deities--all these causes of the cosmic manifestation are born from ẏour transcendental body| 9: ṭhe vo P man| - -- >+ -- -- ū -- -- k͟hṟ -- -- o -- -- ty --"
"--Contents of Chapter One--","""PRANA' MEANS THE SUPREME LORD.","1.1.23","","1.1.23","","","",""
"--Contents of Chapter One--","""JYOTI' IS THE SUPREME LORD WHO IS THE LIGHT GLORIFIED IN THE","1.1.24","","1.1.24","","","",""
"--Contents of Chapter One--","MEDITATING UPON THE LORD WHO IS THE SOURCE OF ALL LIGHT.","1.1.25","","1.1.25","","","",""
"--Contents of Chapter One--","THE SUPREME LORD; HENCE, GAYATRI IS AN INCARNATION OF THE SUPREME LORD.","1.1.26","","1.1.26","","","",""
"--Contents of Chapter One--","THE MATERIAL REALM (EKAPADA VIBHUTI).","1.1.27","","1.1.27","","","",""
"--Contents of Chapter One--","DEMIGODS AND ALL LIVING ENTITIES. INDRA IS SPEAKING ON BEHALF OF","1.1.28","","1.1.28","","","",""
"--Contents of Chapter One--","THAT LIVES. IT MUST BE CONCLUDED THAT HE, THE JIVA, IS HIMSELF","1.1.29","","1.1.29","","","",""
"--Contents of Chapter One--","THE JIVA DEPENDS IN EVERY WAY UPON THE SUPREME SOUL.","1.1.31","","1.1.31","","","",""
"--Contents of Chapter One--","THE SENSES OF ALL BEINGS.","1.2.1","","1.2.1","","","",""
"--Contents of Chapter One--","FOR A JIVA TO POSSESS THIS ATTRIBUTE.","1.2.2","","1.2.2","","","",""
"--Contents of Chapter One--","THE JIVA IS NOT MANOMAYA, FOR HE IS LIKE A GLOWWORM BEFORE THE","1.2.3","","1.2.3","","","",""
"--Contents of Chapter One--","EVEN THE MOST EXALTED JIVAS REMAIN ALWAYS SUBORDINATE TO HE WHO IS","1.2.4","","1.2.4","","","",""
"--Contents of Chapter One--","HEART AS THE MOST SUBTLE (OR AS THE SMALLEST).","1.2.7","","1.2.7","","","",""
"--Contents of Chapter One--","THE JIVA (PLEASURE, PAIN ETC.).","1.2.8","sarvesu sasvat tanu-bhrtsv avasthitam yatha kham atmanam abhistam isvaram vedopagitam ca na srnuvate 'budha mano-rathanam pravadanti vartaya","1.2.8","sarvesu sasvat tanu-bhrtsv avasthitam yatha kham atmanam abhistam isvaram vedopagitam ca na srnuvate 'budha mano-rathanam pravadanti vartaya","सर्वेसु सस्वत् तनु-भ्र्त्स्व् अवस्थितम् यथ खम् अत्मनम् अभिस्तम् इस्वरम् वेदोपगितम् च न स्र्नुवते 'बुध मनो-रथनम् प्रवदन्ति वर्तय","sarvesu--in all; sasvat--eternally; tanu-bhrtsu--embodied living beings; avasthitam--situated; yatha--just as; kham--the sky; atmanam-- the ṣupreme ṣoul; abhistam--most vorśipable; isvaram--ultimate controller; veda-upasitam--glorified by the Vedas; ca--also; na srnvate--the do not hear; abudhah--unintelligent persons; manah- rathanam--of vhimsical pleasures; pravadanti--they go on discussing; vartaya--the topics|",""
"--Contents of Chapter One--","DEPENDS UPON THE SUPREME LORD ALONE, AND NOT UPON THE INTELLIGENCE AND","1.2.11","","1.2.11","","","",""
"--Contents of Chapter One--","KNOWING NOR THE GOAL OF YOGA.","1.2.12","","1.2.12","","","",""
"--Contents of Chapter One--","WITHIN THE PHYSICAL BODY.","1.2.13","","1.2.13","","","",""
"--Contents of Chapter One--","OF THE LIVING ENTITIES AND ACTIVATES THEM. THUS DOES HE DWELL WITHIN","1.2.14","","1.2.14","","","",""
"--Contents of Chapter One--","THE MATERIAL EYE ARE ONLY A SLIGHT REFLECTION OF THAT BLISS.","1.2.15","","1.2.15","","","",""
"--Contents of Chapter One--","OWN EYE IS THE SUN.","1.2.16","","1.2.16","","","",""
"--Contents of Chapter One--","NO ONE ELSE THAN THE SUPREME LORD COULD BE THE PERSON WITHIN THE EYE.","1.2.17","","1.2.17","","","",""
"--Contents of Chapter One--","THE ANTARYAMI (THE RULER WITHIN) IS THE SUPREME PERSONALITY OF GODHEAD.","1.2.18","5|2o|28 antah-pravisya bhutani yo bibharty atma-ketubhih antaryamisvarah saksat patu no yad-vase sphutam","1.2.18","5|2o|28 antah-pravisya bhutani yo bibharty atma-ketubhih antaryamisvarah saksat patu no yad-vase sphutam","५।२ओ।२८ अन्तह्-प्रविस्य भुतनि यो बिभर्त्य् अत्म-केतुभिह् अन्तर्यमिस्वरह् सक्सत् पतु नो यद्-वसे स्फुतम्","antah-pravisya--entering vithin; bhutani--all living entities; yah-- vho; bibharti--maintains; atma-ketubhih--by the functions of the inner airs (prana, apana, etc|); antaryami--the ṣupersoul vithin; isvarah-- the ṣupreme person; saksat--directly; patu--please maintain; nah--us; yat-vase--under vhose control; sphutam--the cosmic manifestation|","[ṭhe inhabitants of ṣakadvipa vorśip the ṣupreme Personality of ġodhead in the form of Vayu in the folloving vords|] O ṣupreme Person, situated as the ṣupersoul vithin the body, ẏou direct the various actions of the different airs, suc as prana, and thus ẏou maintain all living entities| O ḻord, O ṣupersoul of everyone, O controller of the cosmic manifestation under vhom everything ekṣists, may ẏou p"
"--Contents of Chapter One--","THE ANTARYAMI (THE RULER WITHIN) IS THE SUPREME PERSONALITY OF GODHEAD.","1.2.19","","1.2.19","","","",""
"--Contents of Chapter One--","OF OMNISCIENCE AND INVISIBILITY.","1.2.21","","1.2.21","","","",""
"--Contents of Chapter One--","FORM, HE IS NOT A CONDITIONED SOUL.","1.2.22","","1.2.22","","","",""
"--Contents of Chapter One--","CANNOT BELONG TO A JIVA.","1.2.23","","1.2.23","","","",""
"--Contents of Chapter One--","VEDAS CONVEY GROSS, INFERIOR KNOWLEDGE (APARA VIDYA).","1.2.24","","1.2.24","","","",""
"--Contents of Chapter One--","IS AIMED AT THE SUPREME LORD NARAYANA.","1.2.25","","1.2.25","","","",""
"--Contents of Chapter One--","VAISNAVARA IS THE EXPANSION OF THE SUPERSOUL WITHIN THE ABDOMINAL","1.2.26","1o|87|18 udaram upasate ya rsi-vartmasu kurpa-drsah parisara-paddhatim hrdayam arunayo daharam tata udgad ananta tava dhama sirah paramam punar iha yat sametya na patanti krtanta-mukhe","1.2.26","1o|87|18 udaram upasate ya rsi-vartmasu kurpa-drsah parisara-paddhatim hrdayam arunayo daharam tata udgad ananta tava dhama sirah paramam punar iha yat sametya na patanti krtanta-mukhe","१ओ।८७।१८ उदरम् उपसते य र्सि-वर्त्मसु कुर्प-द्र्सह् परिसर-पद्धतिम् ह्र्दयम् अरुनयो दहरम् तत उद्गद् अनन्त तव धम सिरह् परमम् पुनर् इह यत् समेत्य न पतन्ति क्र्तन्त-मुखे","udaram--the abdomen; upasate--vorśip; ye--vho; rsi--of sages; vartmasu--according to the standard methods; kurpa--gross; drsah--their vision; parisara--from vhic all the pranic cannels emanate; paddhatim--the node; hrdayam--the heart; arunayah--the āruni sages; daharam--subtle; tatah--thence; udagat--(the soul) rises up; ananta--O unlimited ḻord; tava--ẏour; dhama--place of appearance; sirah--to the head; paramam--the highest destination; punah--again; iha--into this vorld; yat--vhic; sametya--reacing; na patanti--they do not fall dovn; krta-anta--of death; mukhe--into the mouth|","āmong the follovers of the methods set forth by great sages, those vith less refined vision vorśip the ṣupreme as present in the region of the abdomen, vhile the ārunis vorśip ḥim as present in the heart, in the subtle center from vhic all the pranic cannels emanate| From there, O unlimited ḻord, these vorśipers raise their consciousness upvard to the top of the head, vhere they can perceive ẏou directly| ṭhen, passing through the top of the head tovard the supreme destination, they reac that place from vhic they vill never again fall to this vorld, into the mouth of death| VāīṣVāṇāṟā īṣ ṭḥE ṣūPṟEṃE ḻOṟḍ Vīṣṇū WḥO īṣ ṭO BE ṃEḍīṭāṭEḍ ūPOṇ āṣ āġṇī, ṭḥE īṇṭEṟṇāḻ FīṟE WḥO ḥāṣ ā PEṟṣOṇāḻ FOṟṃ|"
"--Contents of Chapter One--","VAISNAVARA IS THE EXPANSION OF THE SUPERSOUL WITHIN THE ABDOMINAL","1.2.27","","1.2.27","","","",""
"--Contents of Chapter One--","ONE WHO MEDITATES UPON VAISNAVARA AS A DEMIGOD OR A MATERIAL ELEMENT IS","1.2.28","","1.2.28","","","",""
"--Contents of Chapter One--","""HE WHO GIVES BIRTH TO ALL OTHERS', AGNI IS DIRECTLY A NAME OF THE","1.2.29","","1.2.29","","","",""
"--Contents of Chapter One--","THE THUMB AND FOREFINGER, THE SIZE OF THE HEART). SO DECLARES SAGE","1.2.31","","1.2.31","","","",""
"--Contents of Chapter One--","INCONCEIVABLE POTENCY; THUS DOES HE DWELL IN THE HEARTS OF ALL BEINGS.","1.2.32","","1.2.32","","","",""
"--Contents of Chapter One--","THE VEDAS TESTIFY TO THE INCONCEIVABILE POTENCY OF THE FORM OF THE","1.2.33","1o|14|2 asyapi deva vapuso mad-anugrahasya svecca-mayasya na tu bhuta-mayasya ko 'pi nese mahi tv avasitum manasantarena saksat tavaiva kim utatma-sukhanubhuteh","1.2.33","1o|14|2 asyapi deva vapuso mad-anugrahasya svecca-mayasya na tu bhuta-mayasya ko 'pi nese mahi tv avasitum manasantarena saksat tavaiva kim utatma-sukhanubhuteh","१ओ।१४।२ अस्यपि देव वपुसो मद्-अनुग्रहस्य स्वेच्च-मयस्य न तु भुत-मयस्य को 'पि नेसे महि त्व् अवसितुम् मनसन्तरेन सक्सत् तवैव किम् उतत्म-सुखनुभुतेह्","asya--of this; api--even; deva--O ḻord; vapusah--the body; mat- anugrahasya--vhic has śovn mercy to me; sva-icca-mayasya--vhic appears in response to the desires of ẏour pure devotīs; na--not; tu-- on the other hand; bhuta-mayasya--a product of matter; kah--Brahma; api--even; na ise--ī am not able; mahi--the potency; tu--indīd; avasitum--to estimate; manasa--vith my mind; antarena--vhic is controlled and vithdravn; saksat--directly; tava--ẏour; eva--indīd; kim uta--vhat to speak; atma--vithin ẏourself; sukha--of happiness;",""
"--Contents of Chapter One--","AND ATTAINS THE ETERNAL ABODE, VAIKUNTHA.","1.3.1","","1.3.1","","","",""
"--Contents of Chapter One--","THE LIBERATED SOULS KNOW THE GOAL OF VEDIC DHARMA TO BE THE SUPREME","1.3.2","","1.3.2","","","",""
"--Contents of Chapter One--","NATURE AS THE GOAL OF VEDIC DHARMA.","1.3.3","","1.3.3","","","",""
"--Contents of Chapter One--","THE GOAL, FOR LIKE MATTER, THE JIVAS ARE THE SUBORDINATE ENERGY OF THE","1.3.4","","1.3.4","","","",""
"--Contents of Chapter One--","FORGETFULNESS. THE FORGETFUL SOUL CANNOT KNOW THE TRUE MEANING OF","1.3.5","","1.3.5","","","",""
"--Contents of Chapter One--","SUPREME LORD ALONE; KNOWLEDGE ONLY OF THE INDIVIDUAL SOUL IS NOT","1.3.6","","1.3.6","","","",""
"--Contents of Chapter One--","INDICATED BY THE EXAMPLE OF TWO BIRDS (FROM THE MUNDAKA UPANISAD).","1.3.7","","1.3.7","","","",""
"--Contents of Chapter One--","VISNU; ALL OTHER LIVING ENTITIES ARE HIS SERVANTS AND ARE DEPENDENT","1.3.8","","1.3.8","","","",""
"--Contents of Chapter One--","ORIGINAL PERSON (ADIPURUSA, SRI KRSNA).","1.3.9","9|1o|14 na tvam vayam jada-dhiyo nu vidama bhuman kuta-stham adi-purusam jagatam adhisam yat-sattvatah sura-gana rajasah prajesa manyos ca bhuta-patayah sa bhavan gunesah","1.3.9","9|1o|14 na tvam vayam jada-dhiyo nu vidama bhuman kuta-stham adi-purusam jagatam adhisam yat-sattvatah sura-gana rajasah prajesa manyos ca bhuta-patayah sa bhavan gunesah","९।१ओ।१४ न त्वम् वयम् जद-धियो नु विदम भुमन् कुत-स्थम् अदि-पुरुसम् जगतम् अधिसम् यत्-सत्त्वतह् सुर-गन रजसह् प्रजेस मन्योस् च भुत-पतयह् स भवन् गुनेसह्","na--not; tvam--ẏour ḻordśip; vayam--ve; jada-dhiyah--dull-minded, possessing blunt intelligence; nu--indīd; vidamah--can knov; bhuman--O ṣupreme; kuta-stham--vithin the core of the heart; adi-purusam--the original Personality of ġodhead; jagatam--of the universes, vhic progressively go on; adhisam--the supreme master; yat--fikṣed under ẏour direction; sattvatah--infatuated vith sattva-guna; sura-ganah--suc demigods; rajasah--infatuated vith rajo-guna; praja-isah--the Prajapatis; manyoh--influ enced by tamo-guna; ca--and; bhuta-patayah-- rulers of ghosts; sah--suc a personality; bhavan--ẏour ḻordśip; guna- isah--the master of all thrī modes of material nature|","O all-pervading ṣupreme Person, ve are dull-minded and did not understand vho ẏou are, but nov ve understand that ẏou are the ṣupreme Person, the master of th ntire universe, the uncanging and original Personality of ġodhead| ṭhe demigods are infatuated vith the mode of gūdness, the Prajapatis vith the mode of passion, and the lord of ghosts vith the mode of ignorance, but ẏou are the master of all these qualities|"
"--Contents of Chapter One--","LORD, NOT TO THE PLANET OF CATURMUKHA BRAHMA.","1.3.13","1o|63|34 sri-rudra uvaca tvam hi brahma param jyotir gudham brahmani vak-maye yam pasyanty amalatmana akasam iva kevalam sri-rudra uvaca--ḻord ṣiva said; tvam--ẏou; hi--alone; brahma--the ābsolute ṭruth; param--supreme; jyotih--light; gudham--hidden;","1.3.13","1o|63|34 sri-rudra uvaca tvam hi brahma param jyotir gudham brahmani vak-maye yam pasyanty amalatmana akasam iva kevalam sri-rudra uvaca--ḻord ṣiva said; tvam--ẏou; hi--alone; brahma--the ābsolute ṭruth; param--supreme; jyotih--light; gudham--hidden;","१ओ।६३।३४ स्रि-रुद्र उवच त्वम् हि ब्रह्म परम् ज्योतिर् गुधम् ब्रह्मनि वक्-मये यम् पस्यन्त्य् अमलत्मन अकसम् इव केवलम् स्रि-रुद्र उवच--ळोर्द् षिव सैद्; त्वम्--य़ोउ; हि--अलोने; ब्रह्म--थे आब्सोलुते ट्रुथ्; परम्--सुप्रेमे; ज्योतिह्--लिघ्त्; गुधम्--हिद्देन्;","brahmani--in the ābsolute; vak-maye--in its form of language (the Vedas); yam--vhom; pasyanti--they sī; amala--spotless; atmanah--vhose hearts; akasam--the sky; iva--like; kevalam--pure|","ṣri ṟudra said: ẏou alone are the ābsolute ṭruth, the supreme light, the mystery hidden vithin the verbal manifestation of the ābsolute| ṭhose vhose hearts are spotless can sī ẏou, for ẏou are uncontaminated, like the sky| 5: ṭhe 'ḍahara ṭḥE ūPāṇīṣāḍīch 'ḍāḥāṟā' (ṭḥE ḻOchāḻīZEḍ ṣEāṭ OF Pṟāṇā) ṟEṣīḍīṇġ īṇ ṭḥE ḥEāṟṭ ṟEFEṟṣ ṭO ṭḥE ṣūPṟEṃE ḻOṟḍ|"
"--Contents of Chapter One--","LORD, NOT TO THE PLANET OF CATURMUKHA BRAHMA.","1.3.14","1o|87|18 udaram upasate ya rsi-vartmasu kurpa-drsah parisara-paddhatim hrdayam arunayo daharam","1.3.14","1o|87|18 udaram upasate ya rsi-vartmasu kurpa-drsah parisara-paddhatim hrdayam arunayo daharam","१ओ।८७।१८ उदरम् उपसते य र्सि-वर्त्मसु कुर्प-द्र्सह् परिसर-पद्धतिम् ह्र्दयम् अरुनयो दहरम्","",""
